txn_id,date,description,amount,balance
BT0148,01/02/2025,STRIPE ATLAS,"-47,719.88","952,280.12"
BT0002,01/04/2025,RAZORPAY SETTLEMENT 0001 UTRPO0001,"273,075.84","1,225,355.96"
BT0049,2025-01-04,SHENZHEN MFG CO,"-62,360.66","1,162,995.30"
BT0090,01/04/2025,RAZORPAY SOFTWARE SUBS,"-112,359.22","1,050,636.08"
BT0127,2025-01-04,WEWORK MEMBERSHIP,"-136,303.80","914,332.28"
BT0076,01/05/2025,INGREDIENT SUPPLIER LLC,"-78,532.24","835,800.04"
BT0086,01/06/2025,STRIPE ATLAS,"-58,524.01","777,276.03"
BT0157,2025-01-06,UBER *TRIP,"-66,707.76","710,568.27"
BT0077,2025-01-07,DELOITTE TAX SVCS,"-47,779.41","662,788.86"
BT0146,01/07/2025,PINTEREST ADS 22,"-58,745.37","604,043.49"
BT0168,01/07/2025,FRACTIONAL CFO LLC,"-95,647.57","508,395.92"
BT0088,01/08/2025,FLEXPORT 3PL INV,"-161,720.48","346,675.44"
BT0118,01/08/2025,INGREDIENT SUPPLIER LLC,"-150,338.95","196,336.49"
BT0004,01/09/2025,RAZORPAY SETTLEMENT 0003 UTRPO0003,"294,848.18","491,184.67"
BT0063,2025-01-09,AMAZON WEB SERVICES AWS,"-160,838.27","330,346.40"
BT0067,2025-01-09,FLEXPORT 3PL INV,"-3,466.97","326,879.43"
BT0111,2025-01-09,PINTEREST ADS 22,"-145,993.27","180,886.16"
BT0095,2025-01-10,EASYPOST,"-73,694.83","107,191.33"
BT0102,01/10/2025,FACEBK *7H2K9,"-23,086.61","84,104.72"
BT0152,01/10/2025,KLAVIYO INC,"-91,639.20","-7,534.48"
BT0053,2025-01-11,INGREDIENT SUPPLIER LLC,"-1,662.25","-9,196.73"
BT0081,2025-01-11,SHIPSTATION,"-44,595.54","-53,792.27"
BT0121,2025-01-11,SHIPSTATION,"-147,746.84","-201,539.11"
BT0144,01/12/2025,PACKAGING SUPPLY CO,"-82,468.20","-284,007.31"
BT0006,01/13/2025,RAZORPAY SETTLEMENT 0005 UTRPO0005,"67,339.31","-216,668.00"
BT0083,2025-01-14,PINTEREST ADS 22,"-49,036.45","-265,704.45"
BT0097,2025-01-15,FLEXPORT 3PL INV,"-46,560.86","-312,265.31"
BT0179,2025-01-15,RAZORPAYX PAYROLL NET DIRECT DEP,"-689,730.98","-1,001,996.29"
BT0180,01/15/2025,RAZORPAYX PAYROLL EPF CHALLAN,"-97,373.79","-1,099,370.08"
BT0154,01/16/2025,SHIPSTATION,"-112,521.46","-1,211,891.54"
BT0117,2025-01-17,FRACTIONAL CFO LLC,"-30,678.35","-1,242,569.89"
BT0008,01/18/2025,RAZORPAY SETTLEMENT 0007 UTRPO0007,"73,228.55","-1,169,341.34"
BT0072,01/18/2025,CONTRACT MFG ACH,"-104,531.03","-1,273,872.37"
BT0108,01/18/2025,FACEBK *7H2K9,"-162,558.76","-1,436,431.13"
BT0045,2025-01-19,FEDEX 7729,"-149,451.28","-1,585,882.41"
BT0135,2025-01-19,ALIBABA *RAWMAT,"-56,659.62","-1,642,542.03"
BT0139,2025-01-19,SLACK T0288,"-74,623.67","-1,717,165.70"
BT0054,01/20/2025,SLACK T0288,"-36,210.51","-1,753,376.21"
BT0040,01/21/2025,UBER *TRIP,"-69,544.11","-1,822,920.32"
