txn_id,true_category
BT0148,Professional Services
BT0002,Razorpay Sales
BT0049,Cost of Goods Sold
BT0090,Office & Admin
BT0127,Office & Admin
BT0076,Cost of Goods Sold
BT0086,Professional Services
BT0157,Office & Admin
BT0077,Professional Services
BT0146,Advertising & Marketing
BT0168,Professional Services
BT0088,Shipping & Fulfillment
BT0118,Cost of Goods Sold
BT0004,Razorpay Sales
BT0063,Software & SaaS
BT0067,Shipping & Fulfillment
BT0111,Advertising & Marketing
BT0095,Shipping & Fulfillment
BT0102,Advertising & Marketing
BT0152,Advertising & Marketing
BT0053,Cost of Goods Sold
BT0081,Shipping & Fulfillment
BT0121,Shipping & Fulfillment
BT0144,Cost of Goods Sold
BT0006,Razorpay Sales
BT0083,Advertising & Marketing
BT0097,Shipping & Fulfillment
BT0179,Payroll Expense
BT0180,Payroll Taxes
BT0154,Shipping & Fulfillment
BT0117,Professional Services
BT0008,Razorpay Sales
BT0072,Cost of Goods Sold
BT0108,Advertising & Marketing
BT0045,Shipping & Fulfillment
BT0135,Cost of Goods Sold
BT0139,Software & SaaS
BT0054,Software & SaaS
BT0040,Office & Admin
BT0044,Software & SaaS
BT0106,Office & Admin
BT0141,Office & Admin
BT0085,Cost of Goods Sold
BT0119,Software & SaaS
BT0124,Office & Admin
BT0010,Razorpay Sales
BT0177,Cost of Goods Sold
BT0142,Shipping & Fulfillment
BT0074,Software & SaaS
BT0156,Office & Admin
BT0012,Razorpay Sales
BT0046,Cost of Goods Sold
BT0120,Advertising & Marketing
BT0181,Payroll Expense
BT0182,Payroll Taxes
BT0048,Software & SaaS
BT0061,Cost of Goods Sold
BT0145,Cost of Goods Sold
BT0191,Internal Transfer
BT0014,Razorpay Sales
BT0041,Advertising & Marketing
BT0099,Cost of Goods Sold
BT0149,Software & SaaS
BT0167,Professional Services
BT0051,Shipping & Fulfillment
BT0060,Office & Admin
BT0016,Razorpay Sales
BT0056,Software & SaaS
BT0131,Professional Services
BT0084,Software & SaaS
BT0104,Software & SaaS
BT0069,Software & SaaS
BT0158,Software & SaaS
BT0183,Payroll Expense
BT0184,Payroll Taxes
BT0018,Razorpay Sales
BT0070,Advertising & Marketing
BT0126,Office & Admin
BT0155,Advertising & Marketing
BT0136,Shipping & Fulfillment
BT0089,Software & SaaS
BT0150,Professional Services
BT0042,Software & SaaS
BT0066,Software & SaaS
BT0078,Professional Services
BT0164,Shipping & Fulfillment
BT0020,Razorpay Sales
BT0039,Cost of Goods Sold
BT0170,Professional Services
BT0079,Cost of Goods Sold
BT0140,Software & SaaS
BT0096,Office & Admin
BT0047,Cost of Goods Sold
BT0165,Shipping & Fulfillment
BT0022,Razorpay Sales
BT0055,Office & Admin
BT0087,Professional Services
BT0091,Advertising & Marketing
BT0103,Cost of Goods Sold
BT0172,Professional Services
BT0185,Payroll Expense
BT0186,Payroll Taxes
BT0094,Software & SaaS
BT0073,Software & SaaS
BT0138,Office & Admin
BT0143,Advertising & Marketing
BT0024,Razorpay Sales
BT0052,Cost of Goods Sold
BT0065,Office & Admin
BT0192,Internal Transfer
BT0112,Shipping & Fulfillment
BT0134,Software & SaaS
BT0101,Shipping & Fulfillment
BT0058,Office & Admin
BT0080,Shipping & Fulfillment
BT0130,Cost of Goods Sold
BT0064,Office & Admin
BT0162,Professional Services
BT0026,Razorpay Sales
BT0059,Office & Admin
BT0075,Software & SaaS
BT0107,Professional Services
BT0137,Cost of Goods Sold
BT0043,Office & Admin
BT0098,Software & SaaS
BT0115,Software & SaaS
BT0175,Cost of Goods Sold
BT0028,Razorpay Sales
BT0105,Professional Services
BT0109,Advertising & Marketing
BT0110,Office & Admin
BT0116,Shipping & Fulfillment
BT0122,Shipping & Fulfillment
BT0153,Cost of Goods Sold
BT0187,Payroll Expense
BT0188,Payroll Taxes
BT0151,Software & SaaS
BT0093,Shipping & Fulfillment
BT0163,Office & Admin
BT0038,Advertising & Marketing
BT0113,Office & Admin
BT0128,Software & SaaS
BT0129,Shipping & Fulfillment
BT0171,Advertising & Marketing
BT0030,Razorpay Sales
BT0193,Owner Draw / Capital
BT0032,Razorpay Sales
BT0082,Professional Services
BT0159,Cost of Goods Sold
BT0100,Professional Services
BT0123,Shipping & Fulfillment
BT0160,Office & Admin
BT0161,Shipping & Fulfillment
BT0174,Advertising & Marketing
BT0068,Shipping & Fulfillment
BT0169,Office & Admin
BT0057,Software & SaaS
BT0034,Razorpay Sales
BT0092,Software & SaaS
BT0114,Software & SaaS
BT0050,Shipping & Fulfillment
BT0147,Shipping & Fulfillment
BT0125,Office & Admin
BT0176,Advertising & Marketing
BT0189,Payroll Expense
BT0190,Payroll Taxes
BT0062,Office & Admin
BT0178,Office & Admin
BT0036,Razorpay Sales
BT0071,Professional Services
BT0132,Cost of Goods Sold
BT0133,Cost of Goods Sold
BT0166,Office & Admin
BT0173,Shipping & Fulfillment
