settlement_id,utr,settlement_date,gross_amount,razorpay_fees_incl_gst,refunds,transaction_count
PO0001,UTRPO0001,2025-01-04,284013.27,6702.72,4234.71,101
PO0003,UTRPO0003,2025-01-09,346358.24,8174.05,13610.86,118
PO0005,UTRPO0005,2025-01-13,79770.94,1882.6,1062.59,27
PO0007,UTRPO0007,2025-01-18,82686.04,1951.39,1748.99,28
PO0009,UTRPO0009,2025-01-23,132268.55,3121.54,5830.19,40
PO0011,UTRPO0011,2025-01-27,133552.4,3151.84,2992.57,45
PO0013,UTRPO0013,2025-02-02,313454.47,7397.53,7347.68,109
PO0015,UTRPO0015,2025-02-08,324326.87,7654.12,6172.41,112
PO0017,UTRPO0017,2025-02-13,292457.73,6902.0,3519.62,104
PO0019,UTRPO0019,2025-02-18,305333.37,7205.87,12322.79,97
PO0021,UTRPO0021,2025-02-24,194822.02,4597.8,9261.47,69
PO0023,UTRPO0023,2025-03-02,191970.93,4530.52,9164.67,58
PO0025,UTRPO0025,2025-03-07,91539.15,2160.32,4295.02,31
PO0027,UTRPO0027,2025-03-11,223972.55,5285.75,3630.79,73
PO0029,UTRPO0029,2025-03-16,205790.07,4856.64,3284.86,68
PO0031,UTRPO0031,2025-03-19,76142.2,1796.95,1201.79,31
PO0033,UTRPO0033,2025-03-24,97216.25,2294.31,2931.42,35
PO0035,UTRPO0035,2025-03-29,181175.48,4275.74,7407.4,64
